epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,588.18,1.6676,1.99078,1.88496,0.59658,0.4589,0.52683,0.28856,1.56116,1.62979,1.99266,0.001981,0.001981,0.001981
164,591.627,1.61686,1.97614,1.83165,0.68674,0.38887,0.62207,0.32006,1.547,1.67128,1.97235,0.0019315,0.0019315,0.0019315
165,595.084,1.59993,2.01224,1.83169,0.67102,0.42454,0.574,0.3136,1.53212,1.64122,1.96605,0.001882,0.001882,0.001882
166,598.528,1.63653,1.96904,1.86916,0.67276,0.42493,0.57719,0.31178,1.53086,1.58761,1.96746,0.0018325,0.0018325,0.0018325
167,601.941,1.62986,1.92529,1.8292,0.65214,0.4077,0.53601,0.27822,1.60158,1.60177,2.0194,0.001783,0.001783,0.001783
168,605.435,1.5774,1.83908,1.79694,0.65433,0.42605,0.52006,0.27213,1.60576,1.53365,2.02171,0.0017335,0.0017335,0.0017335
169,608.916,1.64545,1.94322,1.86858,0.71444,0.42454,0.57879,0.3084,1.57001,1.44691,1.96208,0.001684,0.001684,0.001684
170,612.317,1.5908,1.90946,1.80607,0.63879,0.44603,0.55328,0.28789,1.58704,1.42062,1.96983,0.0016345,0.0016345,0.0016345
171,615.74,1.59419,1.89019,1.82511,0.71671,0.44952,0.57952,0.30795,1.53613,1.37481,1.93637,0.001585,0.001585,0.001585
172,619.15,1.64143,1.88793,1.86963,0.68181,0.48437,0.57175,0.3134,1.48818,1.33984,1.89488,0.0015355,0.0015355,0.0015355
173,622.593,1.56235,1.85266,1.79478,0.65258,0.4434,0.55154,0.3004,1.48287,1.3829,1.89694,0.001486,0.001486,0.001486
174,626.003,1.58881,1.86019,1.81306,0.62833,0.4539,0.54447,0.29437,1.49386,1.34067,1.90608,0.0014365,0.0014365,0.0014365
175,629.421,1.5592,1.8595,1.75782,0.6475,0.45335,0.53599,0.27711,1.5406,1.31922,1.92103,0.001387,0.001387,0.001387
176,632.818,1.58816,1.96535,1.80937,0.67848,0.43492,0.55776,0.29118,1.54163,1.32427,1.92743,0.0013375,0.0013375,0.0013375
177,636.217,1.51648,1.84558,1.72702,0.70969,0.43626,0.58488,0.3273,1.49269,1.28854,1.88467,0.001288,0.001288,0.001288
178,639.661,1.62416,1.87997,1.8618,0.70124,0.466,0.63784,0.37914,1.43142,1.28368,1.84632,0.0012385,0.0012385,0.0012385
179,643.092,1.55957,1.76198,1.76847,0.59278,0.55489,0.64163,0.37371,1.40993,1.29651,1.84344,0.001189,0.001189,0.001189
180,646.497,1.57122,1.77396,1.77206,0.70136,0.46295,0.63747,0.35846,1.44654,1.30157,1.86958,0.0011395,0.0011395,0.0011395
181,649.96,1.54725,1.85043,1.77412,0.70772,0.48027,0.63686,0.35392,1.47664,1.29258,1.89471,0.00109,0.00109,0.00109
182,653.421,1.60525,1.82471,1.84658,0.69306,0.51025,0.63343,0.35683,1.46715,1.29822,1.89529,0.0010405,0.0010405,0.0010405
183,656.829,1.60638,1.82814,1.83937,0.69078,0.49151,0.63335,0.35913,1.45174,1.31169,1.87688,0.000991,0.000991,0.000991
184,660.276,1.5647,1.78151,1.80268,0.70399,0.45229,0.62944,0.34628,1.46119,1.33791,1.87642,0.0009415,0.0009415,0.0009415
185,663.688,1.5999,1.8719,1.80759,0.70374,0.4757,0.63672,0.34115,1.4665,1.32406,1.88246,0.000892,0.000892,0.000892
186,667.122,1.50546,1.7609,1.76635,0.68369,0.47934,0.64983,0.34831,1.4342,1.30171,1.86968,0.0008425,0.0008425,0.0008425
